PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"38123738","Position statement of the German STI Society on the prophylactic use of doxycycline to prevent STIs (Doxy-PEP, Doxy-PrEP)","Werner RN, Schmidt AJ, Potthoff A, Spornraft-Ragaller P, Brockmeyer NH; German STI Society (DSTIG).","J Dtsch Dermatol Ges. 2024 Mar;22(3):466-478. doi: 10.1111/ddg.15282. Epub 2023 Dec 20.","Werner RN","J Dtsch Dermatol Ges","2024","2023/12/20","","","10.1111/ddg.15282"
"41173019","Effect of decreasing the frequency of screening for Neisseria gonorrhoeae and Chlamydia trachomatis on the incidence of these infections and antimicrobial use among men who have sex with men using HIV PrEP in Belgium: a retrospective cohort study","Vanbaelen T, De Baetselier I, Tsoumanis A, Hensen B, Kenyon C.","Lancet Microbe. 2025 Dec;6(12):101214. doi: 10.1016/j.lanmic.2025.101214. Epub 2025 Oct 28.","Vanbaelen T","Lancet Microbe","2025","2025/10/31","","","10.1016/j.lanmic.2025.101214"
"27460426","Lack of doxycycline antimalarial prophylaxis impact on Staphylococcus aureus tetracycline resistance","Mende K, Beckius ML, Zera WC, Yu X, Li P, Tribble DR, Murray CK; Infectious Disease Clinical Research Program Trauma Infectious Disease Outcomes Study Investigative Team.","Diagn Microbiol Infect Dis. 2016 Oct;86(2):211-20. doi: 10.1016/j.diagmicrobio.2016.07.014. Epub 2016 Jul 15.","Mende K","Diagn Microbiol Infect Dis","2016","2016/07/28","PMC5028282","NIHMS805541","10.1016/j.diagmicrobio.2016.07.014"
"37795430","Doxycycline post-exposure prophylaxis for sexually transmitted infections in South Africa","Peters RPH, McIntyre JA, Garrett N, Brink AJ, Celum CL, Bekker LG.","South Afr J HIV Med. 2023 Sep 28;24(1):1510. doi: 10.4102/sajhivmed.v24i1.1510. eCollection 2023.","Peters RPH","South Afr J HIV Med","2023","2023/10/05","PMC10546896","","10.4102/sajhivmed.v24i1.1510"
"41248466","Australian Gonococcal Surveillance Programme Annual Report, 2024","Lahra M, Hurley S, Van Hal S, Hogan T.","Commun Dis Intell (2018). 2025 Nov 18;49. doi: 10.33321/cdi.2025.49.056.","Lahra M","Commun Dis Intell (2018)","2025","2025/11/17","","","10.33321/cdi.2025.49.056"
"41565689","Impact and cost-effectiveness of doxycycline post-exposure prophylaxis in Australian men who have sex with men","Lai H, Ong JJ, Traeger MW, Fairley CK, Howden BP, Stoové MA, Shen M, Zhang L.","Nat Commun. 2026 Jan 21;17(1):1846. doi: 10.1038/s41467-026-68561-7.","Lai H","Nat Commun","2026","2026/01/21","PMC12921014","","10.1038/s41467-026-68561-7"
"40518259","Screening for gonorrhoea and chlamydia: identifying key target populations and intensity-a modelling study of MSM in Belgium","Tsoumanis A, Vanbaelen T, Van Dijck C, Kenyon C, Hens N.","Sex Transm Infect. 2026 Feb 17;102(2):66-73. doi: 10.1136/sextrans-2025-056540.","Tsoumanis A","Sex Transm Infect","2026","2025/06/15","","","10.1136/sextrans-2025-056540"
"36927481","Interim position statement on doxycycline post-exposure prophylaxis (Doxy-PEP) for the prevention of bacterial sexually transmissible infections in Australia and Aotearoa New Zealand - the Australasian Society for HIV, Viral Hepatitis and Sexual Health Medicine (ASHM)","Cornelisse VJ, Ong JJ, Ryder N, Ooi C, Wong A, Kenchington P, Giola M, Donovan B, Dean JA, Molina JM, Medland NA.","Sex Health. 2023 Apr;20(2):99-104. doi: 10.1071/SH23011.","Cornelisse VJ","Sex Health","2023","2023/03/17","","","10.1071/SH23011"
"36728331","Predominance of High-Level Tetracycline-Resistant Neisseria gonorrhoeae in Kenya: Implications for Global Implementation of Doxycycline Postexposure Prophylaxis for Prevention of Sexually Transmitted Infections","Soge OO, Issema R, Bukusi E, Baeten JM, Mujugira A, Celum C, McClelland RS, Stewart J; Partners PrEP Study Team.","Sex Transm Dis. 2023 May 1;50(5):317-319. doi: 10.1097/OLQ.0000000000001769. Epub 2023 Jan 13.","Soge OO","Sex Transm Dis","2023","2023/02/02","PMC10101884","NIHMS1877381","10.1097/OLQ.0000000000001769"
"19761737","Multidrug-resistant Neisseria gonorrhoeae with reduced cefotaxime susceptibility is increasingly common in men who have sex with men, Amsterdam, the Netherlands","de Vries HJ, van der Helm JJ, Schim van der Loeff MF, van Dam AP.","Euro Surveill. 2009 Sep 17;14(37):19330. doi: 10.2807/ese.14.37.19330-en.","de Vries HJ","Euro Surveill","2009","2009/09/19","","","10.2807/ese.14.37.19330-en"
"40053326","A Qualitative Study of Doxycycline Postexposure Prophylaxis Knowledge, Attitudes, and Practices Among Health Care Providers in New York City","D'Avanzo PA, Bosco J, Carnevale C, Zucker J.","Sex Transm Dis. 2025 Apr 1;52(4):233-241. doi: 10.1097/OLQ.0000000000002103. Epub 2024 Nov 13.","D'Avanzo PA","Sex Transm Dis","2025","2025/03/07","","","10.1097/OLQ.0000000000002103"
"39936749","[""How to get your Doxy-PEP?"": vulnerabilities and critical routes encountered by men in the therapeutic itinerary in Brazil]","Sousa ÁFL, Sousa AR.","Cad Saude Publica. 2025 Feb 7;40(12):e00058524. doi: 10.1590/0102-311XPT058524. eCollection 2025.","Sousa ÁFL","Cad Saude Publica","2025","2025/02/12","PMC11805510","","10.1590/0102-311XPT058524"
"41874001","Doxycycline Postexposure Prophylaxis in the Dominican Republic: Investigating Healthcare Provider Knowledge, Attitudes, and Practices in a Caribbean Clinical Setting","Longhi D, Myrus E, Baez Caraballo P, Reyes F, D'Avanzo PA, Yin MT, Zucker J.","Sex Transm Dis. 2026 Jul 1;53(7):411-418. doi: 10.1097/OLQ.0000000000002322. Epub 2026 Mar 24.","Longhi D","Sex Transm Dis","2026","2026/03/24","PMC13063178","NIHMS2155725","10.1097/OLQ.0000000000002322"
"29045604","Increases in Neisseria gonorrhoeae With Reduced Susceptibility to Azithromycin Among Men Who Have Sex With Men in Seattle, King County, Washington, 2012-2016","Barbee LA, Soge OO, Katz DA, Dombrowski JC, Holmes KK, Golden MR.","Clin Infect Dis. 2018 Feb 10;66(5):712-718. doi: 10.1093/cid/cix898.","Barbee LA","Clin Infect Dis","2018","2017/10/19","PMC5848236","","10.1093/cid/cix898"
"38765970","Molecular surveillance to monitor the prevalence of tetracycline resistance in Neisseria gonorrhoeae","Roster KIO, Mittelstaedt R, Reyes J, Aatresh AV, Grad YH.","medRxiv [Preprint]. 2024 May 7:2024.05.07.24306823. doi: 10.1101/2024.05.07.24306823.","Roster KIO","medRxiv","2024","2024/05/20","PMC11100842","","10.1101/2024.05.07.24306823"
"40140758","Usage of post-exposure prophylaxis and its impact on risk behaviors among men who have sex with men in Qingdao, China","Su R, Liu Y, Li P, Ge L, Liao M, Fu Y, Song X, Tang H, Li D.","BMC Infect Dis. 2025 Mar 27;25(1):421. doi: 10.1186/s12879-025-10795-9.","Su R","BMC Infect Dis","2025","2025/03/27","PMC11948818","","10.1186/s12879-025-10795-9"
"28282644","Antimicrobial Susceptibility Evaluation and Multiple-Locus Variable Number Tandem Repeat Analysis of Neisseria gonorrhoeae Isolates in China in 2012","Yu RX, Yin Y, Dai XQ, Chen SC, Han Y, Zheng BJ, Zhang GY, Chen XS.","Sex Transm Dis. 2017 Apr;44(4):197-201. doi: 10.1097/OLQ.0000000000000580.","Yu RX","Sex Transm Dis","2017","2017/03/11","","","10.1097/OLQ.0000000000000580"
"39252917","An updated molecular diagnostic for surveillance of tetM in Neisseria gonorrhoeae","Palace SG, Reyes JA, Vickers EN, Aatresh AV, Shen W, Iqbal Z, Grad YH.","medRxiv [Preprint]. 2024 Aug 28:2024.08.26.24312240. doi: 10.1101/2024.08.26.24312240.","Palace SG","medRxiv","2024","2024/09/10","PMC11383510","","10.1101/2024.08.26.24312240"
"38874923","Antimicrobial Resistance Patterns of Outpatient Staphylococcus aureus Isolates","Carrel M, Smith M, Shi Q, Hasegawa S, Clore GS, Perencevich EN, Goto M.","JAMA Netw Open. 2024 Jun 3;7(6):e2417199. doi: 10.1001/jamanetworkopen.2024.17199.","Carrel M","JAMA Netw Open","2024","2024/06/14","PMC11179135","","10.1001/jamanetworkopen.2024.17199"
"18977704","[Ciprofloxacin resistance of Neisseria gonorrhoeae according to sexual habits]","García S, Casco R, Perazzi B, De Mier C, Vay C, Famiglietti A.","Medicina (B Aires). 2008;68(5):358-62.","García S","Medicina (B Aires)","2008","2008/11/04","","",""
"41220254","Optimizing Sexually Transmitted Infection Screening Packages in the Context of Doxycycline Post-Exposure Prophylaxis Use Among Cisgender Gay, Bisexual, and Other Men Who Have Sex with Men in Taiwan: A Discrete Choice Experiment","Chen TW, Miwa T, Wu DB, Chu IY, Joson PA, Ku SW, Wu HJ, Li CW, Huang P, Strong C.","AIDS Patient Care STDS. 2026 Jan;40(1):5-13. doi: 10.1177/10872914251394651. Epub 2025 Dec 31.","Chen TW","AIDS Patient Care STDS","2026","2025/11/12","","","10.1177/10872914251394651"
"27631366","Anti-retroviral Therapy Based HIV Prevention Among a Sample of Men Who Have Sex with Men in Cape Town, South Africa: Use of Post-exposure Prophylaxis and Knowledge on Pre-exposure Prophylaxis","Hugo JM, Stall RD, Rebe K, Egan JE, De Swardt G, Struthers H, McIntyre JA.","AIDS Behav. 2016 Dec;20(Suppl 3):357-364. doi: 10.1007/s10461-016-1536-1.","Hugo JM","AIDS Behav","2016","2016/09/16","","","10.1007/s10461-016-1536-1"
"12916137","High percentages of resistance to tetracycline and penicillin and reduced susceptibility to azithromycin characterize the majority of strain types of Neisseria gonorrhoeae isolates in Cuba, 1995-1998","Sosa J, Ramirez-Arcos S, Ruben M, Li H, Llanes R, Llop A, Dillon JA.","Sex Transm Dis. 2003 May;30(5):443-8. doi: 10.1097/00007435-200305000-00012.","Sosa J","Sex Transm Dis","2003","2003/08/15","","","10.1097/00007435-200305000-00012"
"40066683","Development and Evaluation of a Novel Algorithm to Identify Doxycycline Postexposure Prophylaxis Users at a Large Healthcare System in the Bronx, New York","Mullis CE, Bishop D, Fazzari M, Tappen N, Felsen U, Meyerowitz EA.","Clin Infect Dis. 2026 Feb 9;82(1):173-176. doi: 10.1093/cid/ciaf109.","Mullis CE","Clin Infect Dis","2026","2025/03/11","PMC13375568","","10.1093/cid/ciaf109"
"25910578","A doxycycline-loaded polymer-lipid encapsulation matrix coating for the prevention of implant-related osteomyelitis due to doxycycline-resistant methicillin-resistant Staphylococcus aureus","Metsemakers WJ, Emanuel N, Cohen O, Reichart M, Potapova I, Schmid T, Segal D, Riool M, Kwakman PH, de Boer L, de Breij A, Nibbering PH, Richards RG, Zaat SA, Moriarty TF.","J Control Release. 2015 Jul 10;209:47-56. doi: 10.1016/j.jconrel.2015.04.022. Epub 2015 Apr 21.","Metsemakers WJ","J Control Release","2015","2015/04/26","","","10.1016/j.jconrel.2015.04.022"
"38118022","Doxycycline Prophylaxis to Prevent Sexually Transmitted Infections in Women","Stewart J, Oware K, Donnell D, Violette LR, Odoyo J, Soge OO, Scoville CW, Omollo V, Mogaka FO, Sesay FA, McClelland RS, Spinelli M, Gandhi M, Bukusi EA, Baeten JM; dPEP Kenya Study Team.","N Engl J Med. 2023 Dec 21;389(25):2331-2340. doi: 10.1056/NEJMoa2304007.","Stewart J","N Engl J Med","2023","2023/12/20","PMC10805625","NIHMS1955862","10.1056/NEJMoa2304007"
"39612986","Antimicrobial susceptibilities of oral Neisseria from men on HIV pre-exposure prophylaxis in Hanoi, Vietnam","Dong HV, Adamson P, Pham DH, Pham QH, Le HHL, Pham LQ, Bui HTM, Le GM, Klausner JD.","J Glob Antimicrob Resist. 2025 Jan;40:11-14. doi: 10.1016/j.jgar.2024.11.008. Epub 2024 Nov 28.","Dong HV","J Glob Antimicrob Resist","2025","2024/11/29","PMC11839151","NIHMS2048362","10.1016/j.jgar.2024.11.008"
"7652657","Plasmid-mediated antimicrobial resistance in Neisseria gonorrhoeae in Kingston, Jamaica: 1990-1991","Knapp JS, Brathwaite AR, Hinds A, Duncan W, Rice RJ.","Sex Transm Dis. 1995 May-Jun;22(3):155-9. doi: 10.1097/00007435-199505000-00004.","Knapp JS","Sex Transm Dis","1995","1995/05/01","","","10.1097/00007435-199505000-00004"
"40819902","Chlamydia trachomatis and Neisseria gonorrhoeae bacterial loads in men who have sex with men on pre-exposure prophylaxis: a cross-sectional study","Rayo E, Malingamba G, Marti H, Onorini D, Leonard CA, Low N, Hampel B, Borel N.","Sex Transm Infect. 2026 Jan 16;102(1):47-50. doi: 10.1136/sextrans-2025-056579.","Rayo E","Sex Transm Infect","2026","2025/08/17","PMC12911633","","10.1136/sextrans-2025-056579"
"31341071","Genotypic and Phenotypic Characterization of Antimicrobial Resistance in Neisseria gonorrhoeae: a Cross-Sectional Study of Isolates Recovered from Routine Urine Cultures in a High-Incidence Setting","Bailey AL, Potter RF, Wallace MA, Johnson C, Dantas G, Burnham CA.","mSphere. 2019 Jul 24;4(4):e00373-19. doi: 10.1128/mSphere.00373-19.","Bailey AL","mSphere","2019","2019/07/26","PMC6656870","","10.1128/mSphere.00373-19"
"36952471","Doxycycline Postexposure Prophylaxis Could Induce Cross-Resistance to Other Classes of Antimicrobials in Neisseria gonorrhoeae : An In Silico Analysis","Vanbaelen T, Manoharan-Basil SS, Kenyon C.","Sex Transm Dis. 2023 Aug 1;50(8):490-493. doi: 10.1097/OLQ.0000000000001810. Epub 2023 Mar 23.","Vanbaelen T","Sex Transm Dis","2023","2023/03/23","","","10.1097/OLQ.0000000000001810"
"37018493","Postexposure Doxycycline to Prevent Bacterial Sexually Transmitted Infections","Luetkemeyer AF, Donnell D, Dombrowski JC, Cohen S, Grabow C, Brown CE, Malinski C, Perkins R, Nasser M, Lopez C, Vittinghoff E, Buchbinder SP, Scott H, Charlebois ED, Havlir DV, Soge OO, Celum C; DoxyPEP Study Team.","N Engl J Med. 2023 Apr 6;388(14):1296-1306. doi: 10.1056/NEJMoa2211934.","Luetkemeyer AF","N Engl J Med","2023","2023/04/05","PMC10140182","NIHMS1889907","10.1056/NEJMoa2211934"
"29511067","Is previous azithromycin treatment associated with azithromycin resistance in Neisseria gonorrhoeae? A cross-sectional study using national surveillance data in England","Clifton S, Town K, Furegato M, Cole M, Mohammed H, Woodhall SC, Kevin Dunbar J, Fifer H, Hughes G.","Sex Transm Infect. 2018 Sep;94(6):421-426. doi: 10.1136/sextrans-2017-053461. Epub 2018 Mar 6.","Clifton S","Sex Transm Infect","2018","2018/03/08","","","10.1136/sextrans-2017-053461"
"37790567","Estimating changes in antibiotic consumption with the introduction of doxycycline post-exposure prophylaxis in the United States","Roster KIO, Grad YH.","medRxiv [Preprint]. 2023 Sep 23:2023.09.20.23295787. doi: 10.1101/2023.09.20.23295787.","Roster KIO","medRxiv","2023","2023/10/04","PMC10543056","","10.1101/2023.09.20.23295787"
