PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"41831429","Effects of doxycycline post-exposure prophylaxis on bacterial sexually transmitted infections and antiretroviral therapy adherence among adolescents and young adults living with HIV","Howze TJ, Graves SM, Carr SD, Sabbatini GM, Nason TM, Patel ND.","J Infect Public Health. 2026 May;19(5):103206. doi: 10.1016/j.jiph.2026.103206. Epub 2026 Mar 11.","Howze TJ","J Infect Public Health","2026","2026/03/14","","","10.1016/j.jiph.2026.103206"
"40814042","Doxycycline post-exposure prophylaxis in China: current utilized situation among men who have sex with men in a cross-sectional online survey from two cites","Zhang X, Du FZ, Zheng XL, Zhang RL, Wang QQ.","BMC Public Health. 2025 Aug 14;25(1):2760. doi: 10.1186/s12889-025-24067-3.","Zhang X","BMC Public Health","2025","2025/08/15","PMC12351837","","10.1186/s12889-025-24067-3"
"39476167","Doxycycline Post-Exposure Prophylaxis for Bacterial Sexually Transmitted Infections: The Current Landscape and Future Directions","Allan-Blitz LT, Mayer KH.","Curr HIV/AIDS Rep. 2024 Oct 30;22(1):1. doi: 10.1007/s11904-024-00709-w.","Allan-Blitz LT","Curr HIV/AIDS Rep","2024","2024/10/30","PMC11994091","NIHMS2069688","10.1007/s11904-024-00709-w"
"38699315","Doxycycline post-exposure prophylaxis for sexually transmitted infections impacts the gut antimicrobial resistome","Langelier C, Chu V, Glascock A, Donnell D, Grabow C, Brown C, Ward R, Love C, Kalantar K, Cohen S, Cannon C, Woodworth M, Kelley C, Celum C, Luetkemeyer A.","Res Sq [Preprint]. 2024 Apr 17:rs.3.rs-4243341. doi: 10.21203/rs.3.rs-4243341/v1.","Langelier C","Res Sq","2024","2024/05/03","PMC11065088","","10.21203/rs.3.rs-4243341/v1"
"38575877","45 years of tetracycline post exposure prophylaxis for STIs and the risk of tetracycline resistance: a systematic review and meta-analysis","Vanbaelen T, Manoharan-Basil SS, Kenyon C.","BMC Infect Dis. 2024 Apr 4;24(1):376. doi: 10.1186/s12879-024-09275-3.","Vanbaelen T","BMC Infect Dis","2024","2024/04/04","PMC10996150","","10.1186/s12879-024-09275-3"
"39452761","Antimicrobial Resistance of Neisseria gonorrhoeae Isolates among Men Who Have Sex with Men in Lower Silesia, Poland","Biała M, Mączyńska B, Starzyński K, Rurańska-Smutnicka D, Secewicz A, Szuba P, Szetela B.","Pathogens. 2024 Oct 11;13(10):890. doi: 10.3390/pathogens13100890.","Biała M","Pathogens","2024","2024/10/25","PMC11510510","","10.3390/pathogens13100890"
"40689482","Doxycycline Postexposure Prophylaxis Is Effective and Highly Acceptable in an Urban Public Sexually Transmitted Disease Clinic: Philadelphia, 2019-2023","Lewis FMT, Cope AB, Clark K, Madera R, Asbel L, Newman DR, Davis NL.","Sex Transm Dis. 2025 Dec 1;52(12):734-738. doi: 10.1097/OLQ.0000000000002224. Epub 2025 Jul 21.","Lewis FMT","Sex Transm Dis","2025","2025/07/21","PMC12313191","NIHMS2097524","10.1097/OLQ.0000000000002224"
"23460055","Neisseria gonorrhoeae antimicrobial resistance among men who have sex with men and men who have sex exclusively with women: the Gonococcal Isolate Surveillance Project, 2005-2010","Kirkcaldy RD, Zaidi A, Hook EW 3rd, Holmes KK, Soge O, del Rio C, Hall G, Papp J, Bolan G, Weinstock HS.","Ann Intern Med. 2013 Mar 5;158(5 Pt 1):321-8. doi: 10.7326/0003-4819-158-5-201303050-00004.","Kirkcaldy RD","Ann Intern Med","2013","2013/03/06","PMC6697257","NIHMS1035112","10.7326/0003-4819-158-5-201303050-00004"
"41422940","Threshold effects of doxycycline postexposure prophylaxis (PEP) on the gut resistome and microbiome: Evidence from change-point analyses","Manoharan-Basil SS, Vanbaelen T, Kenyon C.","Int J Infect Dis. 2026 Feb;163:108322. doi: 10.1016/j.ijid.2025.108322. Epub 2025 Dec 19.","Manoharan-Basil SS","Int J Infect Dis","2026","2025/12/21","","","10.1016/j.ijid.2025.108322"
"38479437","Australian consensus statement on doxycycline post-exposure prophylaxis (doxy-PEP) for the prevention of syphilis, chlamydia and gonorrhoea among gay, bisexual and other men who have sex with men","Cornelisse VJ, Riley B, Medland NA.","Med J Aust. 2024 Apr 15;220(7):381-386. doi: 10.5694/mja2.52258. Epub 2024 Mar 13.","Cornelisse VJ","Med J Aust","2024","2024/03/13","","","10.5694/mja2.52258"
"40289038","Rapid Diffusion of Awareness and Uptake of Doxy-PEP among Men who Have Sex with Men in San Francisco","Moscatelli AAM, Ramirez PL, Suprasert B, Tate M, Cohen SE, Veras MASM, Baguso G, Wilson EC, McFarland W.","AIDS Behav. 2025 Jul;29(7):2043-2053. doi: 10.1007/s10461-025-04728-5. Epub 2025 Apr 28.","Moscatelli AAM","AIDS Behav","2025","2025/04/27","","","10.1007/s10461-025-04728-5"
"41800911","Doxycycline prophylaxis is effective as pre-exposure and post-exposure regimens in the prevention of sexually transmitted infections: an updated systematic review and meta-analysis","Zhao P, Zou Q, Tucker J, Fitzpatrick T, Tang W.","Sex Health. 2026 Apr 9;23(2):SH25227. doi: 10.1071/SH25227.","Zhao P","Sex Health","2026","2026/03/09","","","10.1071/SH25227"
"41165341","High Willingness to Use and Recommend Doxycycline Postexposure Prophylaxis for Bacterial Sexually Transmitted Infection Prevention in Peru","Gallardo-Cartagena JA, German-Quiñones DLG, Rosas-Benancio FG, Tafur KT, Velásquez-Velásquez DR, Cabello R, Konda KA, Celum C, Sanchez JL.","Sex Transm Dis. 2026 Mar 1;53(3):162-170. doi: 10.1097/OLQ.0000000000002268. Epub 2025 Oct 30.","Gallardo-Cartagena JA","Sex Transm Dis","2026","2025/10/30","","","10.1097/OLQ.0000000000002268"
"38692309","Perceptions about doxycycline post-exposure prophylaxis (Doxy-PEP) as an STI-prevention strategy among gay and bisexual men (GBM) in the United States: Results from a qualitative study","Ehsan R, D'Angelo AB, Westmoreland DA, Grov C.","Prev Med. 2024 Jun;183:107977. doi: 10.1016/j.ypmed.2024.107977. Epub 2024 Apr 29.","Ehsan R","Prev Med","2024","2024/05/01","PMC11148872","NIHMS1991634","10.1016/j.ypmed.2024.107977"
"40637301","""It's Been a Very Liberating Experience"": Doxycycline Postexposure Prophylaxis for Sexually Transmitted Infection Prevention and Experiences With Sexual Pleasure by Men Who Have Sex With Men","Perkins R, Fredericksen RJ, Christopoulos KA, Beima-Sofie K, Cohen SE, Dombrowski JC, Dright A, Gardner S, Kohler P, Luetkemeyer AF, Pintye J, Celum C.","Sex Transm Dis. 2025 Dec 1;52(12):728-733. doi: 10.1097/OLQ.0000000000002220. Epub 2025 Jul 10.","Perkins R","Sex Transm Dis","2025","2025/07/10","PMC12742890","NIHMS2129226","10.1097/OLQ.0000000000002220"
"38656217","Doxycycline as Postsexual Exposure Prophylaxis: Use, Acceptability, and Associated Sexual Health Behaviors Among a Multi-Site Sample of Clinical Trial Participants","Fredericksen RJ, Perkins R, Brown CE, Cannon C, Lopez C, Cohee A, Dombrowski JC, Cohen S, Malinski C, Powell M, Luetkemeyer AF, Celum C, Christopoulos K.","AIDS Patient Care STDS. 2024 Apr;38(4):155-167. doi: 10.1089/apc.2023.0289.","Fredericksen RJ","AIDS Patient Care STDS","2024","2024/04/24","PMC11236279","","10.1089/apc.2023.0289"
"41189494","Post-exposure prophylaxis with doxycycline (DoxyPEP) to prevent STIs in a real-world setting: the PRIDOX study","Palacios R, Gómez-Ayerbe C, Martín-Cortés S, González-Jiménez A, López-Jódar M, Pérez-Hernández IA, Santos J.","J Antimicrob Chemother. 2025 Dec 2;80(12):3306-3310. doi: 10.1093/jac/dkaf366.","Palacios R","J Antimicrob Chemother","2025","2025/11/05","PMC12670152","","10.1093/jac/dkaf366"
"40803730","Pay-it-forward and social network distribution to increase doxycycline post-exposure prophylaxis uptake among men who have sex with men and transgender women in China: study protocol for a three-arm randomised controlled trial","Zhao P, Xu W, Tucker JD, Tang W, Weideman AM, Enders K, Liang P, Huang S, Fitzpatrick T, Wang C.","BMJ Open. 2025 Aug 12;15(8):e093944. doi: 10.1136/bmjopen-2024-093944.","Zhao P","BMJ Open","2025","2025/08/13","PMC12359465","","10.1136/bmjopen-2024-093944"
"39097410","Efficacy of postexposure prophylaxis with doxycycline (Doxy-PEP) in reducing sexually transmitted infections: a systematic review and meta-analysis","Sokoll PR, Migliavaca CB, Döring S, Traub U, Stark K, Sardeli AV.","Sex Transm Infect. 2025 Jan 29;101(1):59-67. doi: 10.1136/sextrans-2024-056208.","Sokoll PR","Sex Transm Infect","2025","2024/08/03","","","10.1136/sextrans-2024-056208"
"39060908","A practice already in use: a snapshot survey on the use of doxycycline as a preventive strategy (Doxy-PEP and Doxy-PrEP) in the GBMSM population in Spain","Villanueva Baselga S, Ruben M, Luis V.","Infection. 2025 Feb;53(1):437-441. doi: 10.1007/s15010-024-02320-y. Epub 2024 Jul 25.","Villanueva Baselga S","Infection","2025","2024/07/26","PMC11825527","","10.1007/s15010-024-02320-y"
"41054936","Dermatological adverse effects of doxycycline as post-exposure prophylaxis for sexually transmitted infections among men who have sex with men: real-world findings from a multicentre study","Chen LY, Lin WT, Chen YT, Kuo PH, Liu WD, Huang YS, Sun HY, Cheng A, Luo YZ, Wu PY, Chang HY, Lin KY, Hung CC.","J Antimicrob Chemother. 2025 Nov 4;80(11):3118-3122. doi: 10.1093/jac/dkaf351.","Chen LY","J Antimicrob Chemother","2025","2025/10/07","","","10.1093/jac/dkaf351"
"40323716","Factors Influencing Oral Pre-, Post-, and Doxycycline Post-Exposure Prophylaxis Uptake Among Substance-Using Men Who Have Sex with Men in the Rural Southern US","Tang V, Montemayor BN, Owens C.","AIDS Patient Care STDS. 2025 Jun;39(6):233-244. doi: 10.1089/apc.2025.0051. Epub 2025 May 5.","Tang V","AIDS Patient Care STDS","2025","2025/05/05","","","10.1089/apc.2025.0051"
"39122208","Doxycycline prophylaxis for the prevention of sexually transmitted infections: A systematic review and meta-analysis of randomized controlled trials","Szondy I, Meznerics FA, Lőrincz K, Kemény LV, Walter A, Mohammed AA, Hegyi P, Kiss N, Bánvölgyi A.","Int J Infect Dis. 2024 Oct;147:107186. doi: 10.1016/j.ijid.2024.107186. Epub 2024 Aug 8.","Szondy I","Int J Infect Dis","2024","2024/08/09","","","10.1016/j.ijid.2024.107186"
"39316034","Acceptability of Doxycycline Prophylaxis, Prior Antibiotic Use, and Knowledge of Antimicrobial Resistance Among Australian Gay and Bisexual Men and Nonbinary People","Holt M, Bavinton BR, Calabrese SK, Broady TR, Clackett S, Cornelisse VJ, Yu S, Gordon T, Heath-Paynter D, de Wit JBF, MacGibbon J.","Sex Transm Dis. 2025 Feb 1;52(2):73-80. doi: 10.1097/OLQ.0000000000002079. Epub 2024 Sep 24.","Holt M","Sex Transm Dis","2025","2024/09/24","PMC11723483","","10.1097/OLQ.0000000000002079"
"38833414","CDC Clinical Guidelines on the Use of Doxycycline Postexposure Prophylaxis for Bacterial Sexually Transmitted Infection Prevention, United States, 2024","Bachmann LH, Barbee LA, Chan P, Reno H, Workowski KA, Hoover K, Mermin J, Mena L.","MMWR Recomm Rep. 2024 Jun 6;73(2):1-8. doi: 10.15585/mmwr.rr7302a1.","Bachmann LH","MMWR Recomm Rep","2024","2024/06/04","PMC11166373","","10.15585/mmwr.rr7302a1"
"38797183","Doxycycline prophylaxis and meningococcal group B vaccine to prevent bacterial sexually transmitted infections in France (ANRS 174 DOXYVAC): a multicentre, open-label, randomised trial with a 2 × 2 factorial design","Molina JM, Bercot B, Assoumou L, Rubenstein E, Algarte-Genin M, Pialoux G, Katlama C, Surgers L, Bébéar C, Dupin N, Ouattara M, Slama L, Pavie J, Duvivier C, Loze B, Goldwirt L, Gibowski S, Ollivier M, Ghosn J, Costagliola D; ANRS 174 DOXYVAC Study Group.","Lancet Infect Dis. 2024 Oct;24(10):1093-1104. doi: 10.1016/S1473-3099(24)00236-6. Epub 2024 May 23.","Molina JM","Lancet Infect Dis","2024","2024/05/26","","","10.1016/S1473-3099(24)00236-6"
"41259880","Let's not forget about Mycoplasma genitalium","Jenks JD.","Sex Health. 2025 Dec 23;22(6):SH25174. doi: 10.1071/SH25174.","Jenks JD","Sex Health","2025","2025/11/19","","","10.1071/SH25174"
"41474281","Racial Differences in Willingness to Use Doxycycline Postexposure Prophylaxis Among Men Who Have Sex With Men in the United States","Abara WE, Learner ER, Acero C, Valentine-Graves M, Smith M Jr, Lucas I, Sanchez T.","Sex Transm Dis. 2026 May 1;53(5):328-331. doi: 10.1097/OLQ.0000000000002293. Epub 2025 Dec 31.","Abara WE","Sex Transm Dis","2026","2025/12/31","","","10.1097/OLQ.0000000000002293"
"40440462","Position statement on doxycycline post-exposure prophylaxis for the prevention of bacterial sexually transmissible infections in Aotearoa New Zealand: the New Zealand Sexual Health Society","Scott J, Giola M, Oliphant J.","Sex Health. 2025 May;22:SH25017. doi: 10.1071/SH25017.","Scott J","Sex Health","2025","2025/05/29","","","10.1071/SH25017"
"39829789","Re-visiting the potential impact of doxycycline post-exposure prophylaxis (doxy-PEP) on the selection of doxycycline resistance in Neisseria commensals","Robinson LR, McDevitt CJ, Regan MR, Quail SL, Swartz M, Wadsworth CB.","bioRxiv [Preprint]. 2025 Jan 9:2025.01.09.632169. doi: 10.1101/2025.01.09.632169.","Robinson LR","bioRxiv","2025","2025/01/20","PMC11741392","","10.1101/2025.01.09.632169"
"40953601","A cross-sectional analysis of doxyPEP use and outcomes in Michigan, United States","Arena CJ, Everson NA, Kenney RM, Brar I, Gudipati S, Yared N, Davis SL, Veve MP.","Int J STD AIDS. 2026 Feb;37(2):192-196. doi: 10.1177/09564624251379701. Epub 2025 Sep 15.","Arena CJ","Int J STD AIDS","2026","2025/09/15","","","10.1177/09564624251379701"
"41066683","Early uptake of doxycycline prophylaxis among MSM in Rome: Insights from a reference STI clinic","Donà MG, Zaccarelli M, Giuliani M, Stingone C, Gianserra L, Di Tullio F, Giuliani E, Latini A.","Int J STD AIDS. 2026 Mar;37(3):228-232. doi: 10.1177/09564624251375877. Epub 2025 Oct 9.","Donà MG","Int J STD AIDS","2026","2025/10/09","PMC12901654","","10.1177/09564624251375877"
"41942941","Appropriate use of Doxy-PEP and inappropriate antibiotic self-medication for STI management: insights from a LGBTQIA+ survey in Italy","Antonazzo IC, Losa L, Rozza D, Pennini I, Costacurta M, Ulgharaita I, Pessina R, Augello M, Mantovani LG, Ferrara P.","BMC Public Health. 2026 Apr 6;26(1):1587. doi: 10.1186/s12889-026-27274-8.","Antonazzo IC","BMC Public Health","2026","2026/04/06","PMC13192197","","10.1186/s12889-026-27274-8"
"39228717","Staphylococcus aureus Tetracycline Resistance and Co-resistance in a Doxy-PEP-Eligible Population","Mittelstaedt R, Kanjilal S, Helekal D, Robbins GK, Grad YH.","medRxiv [Preprint]. 2024 Aug 22:2024.08.22.24312434. doi: 10.1101/2024.08.22.24312434.","Mittelstaedt R","medRxiv","2024","2024/09/04","PMC11370501","","10.1101/2024.08.22.24312434"
"42107388","Durability of doxycycline effectiveness against gonorrhoea after implementation of post-exposure prophylaxis in southern California, USA: a retrospective, test-negative, observational study","Yechezkel M, Helekal D, Kapadia B, Hong V, Pomichowski ME, Reyes IAC, Davis GS, Müller NF, Grad YH, Tartof SY, Lewnard JA.","Lancet Infect Dis. 2026 Aug;26(8):819-831. doi: 10.1016/S1473-3099(26)00123-4. Epub 2026 May 7.","Yechezkel M","Lancet Infect Dis","2026","2026/05/10","","","10.1016/S1473-3099(26)00123-4"
"39969650","Promises, Pitfalls, and Progress: Doxycycline Prophylaxis for Bacterial Sexually Transmitted Infections","Kaperak CJ, Flores JM, Hazra A.","Curr HIV/AIDS Rep. 2025 Feb 19;22(1):16. doi: 10.1007/s11904-025-00726-3.","Kaperak CJ","Curr HIV/AIDS Rep","2025","2025/02/19","","","10.1007/s11904-025-00726-3"
"41494183","World Health Organization-Recommended Periodic Presumptive Treatment Versus Doxycycline Post-Exposure Prophylaxis for Sexually Transmitted Infection Control Among Men Who Have Sex With Men in Kenya: Protocol for a Randomized Controlled Trial","Graham SM, Otieno FO, Kimani J, Barrientos A, Soge OO, Sharma M, Hamilton DT, Celum C, McClelland RS, Sanders EJ.","JMIR Res Protoc. 2026 Jan 6;15:e81113. doi: 10.2196/81113.","Graham SM","JMIR Res Protoc","2026","2026/01/06","PMC12820545","","10.2196/81113"
"40965055","Assessing the Need for Creating ICD-10 Codes to Enhance Monitoring of Doxycycline Postexposure Prophylaxis Prescriptions in the United States","Tao G, He L, Patel C, Papp J, Barbee LA.","Sex Transm Dis. 2026 Feb 1;53(2):93-96. doi: 10.1097/OLQ.0000000000002245. Epub 2025 Sep 18.","Tao G","Sex Transm Dis","2026","2025/09/18","PMC13181564","NIHMS2171922","10.1097/OLQ.0000000000002245"
"41661126","Antimicrobial resistance concerns should not limit doxycycline post-exposure prophylaxis implementation for bacterial STI prevention","Mishriky F, Chan PA.","Clin Infect Dis. 2026 Feb 9:ciag075. doi: 10.1093/cid/ciag075. Online ahead of print.","Mishriky F","Clin Infect Dis","2026","2026/02/09","","","10.1093/cid/ciag075"
"39478321","Evidence-Informed Provision of Doxycycline Postexposure Prophylaxis for Prevention of Bacterial Sexually Transmitted Infections","Dombrowski JC, Donnell D, Grabow C, Cohen SE, Cannon CA, Brown CE, Buchbinder SP, Celum C, Luetkemeyer AF.","Clin Infect Dis. 2026 Feb 9;82(1):177-184. doi: 10.1093/cid/ciae527.","Dombrowski JC","Clin Infect Dis","2026","2024/10/31","PMC13370436","","10.1093/cid/ciae527"
"42379210","Community-engaged implementation strategies to increase doxycycline post-exposure prophylaxis uptake among men who have sex with men in China (DoxyForward): a three-group, open-label, randomised controlled trial","Fitzpatrick TS, Zhao P, Liang P, Liu C, Wen Z, Lin R, Zou Q, Ong JJ, Huang S, Tang W, Tucker JD, Wang C.","Lancet Infect Dis. 2026 Jun 30:S1473-3099(26)00231-8. doi: 10.1016/S1473-3099(26)00231-8. Online ahead of print.","Fitzpatrick TS","Lancet Infect Dis","2026","2026/06/30","","","10.1016/S1473-3099(26)00231-8"
"39485621","Doxycycline as Post-Exposure Prophylaxis: Awareness, Beliefs, and Interest Among Patients with and at Risk for HIV","Havens JP, Singh N, Lyden E, Bares SH.","AIDS Behav. 2025 Feb;29(2):546-555. doi: 10.1007/s10461-024-04538-1. Epub 2024 Nov 1.","Havens JP","AIDS Behav","2025","2024/11/01","PMC11813952","","10.1007/s10461-024-04538-1"
"27414503","Neisseria gonorrhoeae Antimicrobial Susceptibility Surveillance - The Gonococcal Isolate Surveillance Project, 27 Sites, United States, 2014","Kirkcaldy RD, Harvey A, Papp JR, Del Rio C, Soge OO, Holmes KK, Hook EW 3rd, Kubin G, Riedel S, Zenilman J, Pettus K, Sanders T, Sharpe S, Torrone E.","MMWR Surveill Summ. 2016 Jul 15;65(7):1-19. doi: 10.15585/mmwr.ss6507a1.","Kirkcaldy RD","MMWR Surveill Summ","2016","2016/07/15","","","10.15585/mmwr.ss6507a1"
"29229440","Post-exposure prophylaxis with doxycycline to prevent sexually transmitted infections in men who have sex with men: an open-label randomised substudy of the ANRS IPERGAY trial","Molina JM, Charreau I, Chidiac C, Pialoux G, Cua E, Delaugerre C, Capitant C, Rojas-Castro D, Fonsart J, Bercot B, Bébéar C, Cotte L, Robineau O, Raffi F, Charbonneau P, Aslan A, Chas J, Niedbalski L, Spire B, Sagaon-Teyssier L, Carette D, Mestre SL, Doré V, Meyer L; ANRS IPERGAY Study Group.","Lancet Infect Dis. 2018 Mar;18(3):308-317. doi: 10.1016/S1473-3099(17)30725-9. Epub 2017 Dec 8.","Molina JM","Lancet Infect Dis","2018","2017/12/13","","","10.1016/S1473-3099(17)30725-9"
