unit,timepoint,basis,n_doxy,k_doxy,n_control,k_control,p_control,min_detectable_RR,power_at_RR_2.25,power_at_RR_1.42,detect_matched_2.25,detect_crossorg_1.42
doxypep_us,month6,colonized_participants,51,11,29,3,0.10344827586206896,3.7999999999999945,0.23935621841120125,0.06280032699864228,False,False
doxypep_us,month6,all_participants_swabbed,192,11,75,3,0.04,3.949999999999994,0.23436842683164058,0.04984610826086849,False,False
doxypep_us,month12,colonized_participants,31,5,24,2,0.08333333333333333,4.94999999999999,0.11326863668990474,0.026088635170197074,False,False
doxypep_us,month12,all_participants_swabbed,111,5,51,2,0.0392156862745098,5.04999999999999,0.10312747987252191,0.01861546809478577,False,False
