deff,n_detectable,n_cells,realistic_RR_needed,best_RR_needed,median_RR_needed
1.0,25,135,13.610923446222921,1.0692020467665608,2.943374677816635
5.0,9,135,29.198882084800367,1.1547404807521495,5.345517885349749
10.0,6,135,40.87924148808438,1.2188360865278227,7.145490328996468
25.0,2,135,64.0546172311146,1.3460102338328042,10.716873389083176
