year,uptake,kappa,r0,N_isolates,best_state,f,induced_dR_pp,MDE_pp,RR_needed,detectable
2022,0.2,0.2,0.05,1000,"Washington, D.C.",0.0002524930646427637,0.0005302354357498037,2.730647496904958,2163.948515650025,False
2022,0.2,0.2,0.05,10000,"Washington, D.C.",0.0002524930646427637,0.0005302354357498037,0.8635065577257253,684.9843771134431,False
2022,0.2,0.2,0.05,100000,"Washington, D.C.",0.0002524930646427637,0.0005302354357498037,0.27306474969049577,217.2948515650025,False
2022,0.2,0.2,0.1,1000,"Washington, D.C.",0.0002524930646427637,0.0010604708714996075,3.7587209966655815,1489.6432631262785,False
2022,0.2,0.2,0.1,10000,"Washington, D.C.",0.0002524930646427637,0.0010604708714996075,1.188611943856139,471.7503334944388,False
2022,0.2,0.2,0.1,100000,"Washington, D.C.",0.0002524930646427637,0.0010604708714996075,0.37587209966655816,149.86432631262784,False
2022,0.2,0.2,0.13,1000,"Washington, D.C.",0.0002524930646427637,0.0013786121329494897,4.213569267300611,1284.6816461785015,False
2022,0.2,0.2,0.13,10000,"Washington, D.C.",0.0002524930646427637,0.0013786121329494897,1.3324475963556766,406.9357792478445,False
2022,0.2,0.2,0.13,100000,"Washington, D.C.",0.0002524930646427637,0.0013786121329494897,0.4213569267300611,129.36816461785017,False
2022,0.2,0.5,0.05,1000,"Washington, D.C.",0.0006312326616069091,0.001325588589374509,2.730647496904958,866.1794062600103,False
2022,0.2,0.5,0.05,10000,"Washington, D.C.",0.0006312326616069091,0.001325588589374509,0.8635065577257253,274.5937508453773,False
2022,0.2,0.5,0.05,100000,"Washington, D.C.",0.0006312326616069091,0.001325588589374509,0.27306474969049577,87.51794062600102,False
2022,0.2,0.5,0.1,1000,"Washington, D.C.",0.0006312326616069091,0.002651177178749018,3.7587209966655815,596.4573052505116,False
2022,0.2,0.5,0.1,10000,"Washington, D.C.",0.0006312326616069091,0.002651177178749018,1.188611943856139,189.30013339777557,False
2022,0.2,0.5,0.1,100000,"Washington, D.C.",0.0006312326616069091,0.002651177178749018,0.37587209966655816,60.545730525051155,False
2022,0.2,0.5,0.13,1000,"Washington, D.C.",0.0006312326616069091,0.003446530332373723,4.213569267300611,514.4726584714008,False
2022,0.2,0.5,0.13,10000,"Washington, D.C.",0.0006312326616069091,0.003446530332373723,1.3324475963556766,163.37431169913785,False
2022,0.2,0.5,0.13,100000,"Washington, D.C.",0.0006312326616069091,0.003446530332373723,0.4213569267300611,52.34726584714008,False
2022,0.2,1.0,0.05,1000,"Washington, D.C.",0.0012624653232138183,0.002651177178749018,2.730647496904958,433.58970313000515,False
2022,0.2,1.0,0.05,10000,"Washington, D.C.",0.0012624653232138183,0.002651177178749018,0.8635065577257253,137.79687542268866,False
2022,0.2,1.0,0.05,100000,"Washington, D.C.",0.0012624653232138183,0.002651177178749018,0.27306474969049577,44.25897031300051,False
2022,0.2,1.0,0.1,1000,"Washington, D.C.",0.0012624653232138183,0.005302354357498036,3.7587209966655815,298.7286526252558,False
2022,0.2,1.0,0.1,10000,"Washington, D.C.",0.0012624653232138183,0.005302354357498036,1.188611943856139,95.15006669888778,False
2022,0.2,1.0,0.1,100000,"Washington, D.C.",0.0012624653232138183,0.005302354357498036,0.37587209966655816,30.772865262525578,False
2022,0.2,1.0,0.13,1000,"Washington, D.C.",0.0012624653232138183,0.006893060664747446,4.213569267300611,257.7363292357004,False
2022,0.2,1.0,0.13,10000,"Washington, D.C.",0.0012624653232138183,0.006893060664747446,1.3324475963556766,82.18715584956892,False
2022,0.2,1.0,0.13,100000,"Washington, D.C.",0.0012624653232138183,0.006893060664747446,0.4213569267300611,26.67363292357004,False
2022,0.2,3.0,0.05,1000,"Washington, D.C.",0.003787395969641455,0.007953531536247055,2.730647496904958,145.1965677100017,False
2022,0.2,3.0,0.05,10000,"Washington, D.C.",0.003787395969641455,0.007953531536247055,0.8635065577257253,46.59895847422954,False
2022,0.2,3.0,0.05,100000,"Washington, D.C.",0.003787395969641455,0.007953531536247055,0.27306474969049577,15.419656771000167,False
2022,0.2,3.0,0.1,1000,"Washington, D.C.",0.003787395969641455,0.01590706307249411,3.7587209966655815,100.24288420841857,False
2022,0.2,3.0,0.1,10000,"Washington, D.C.",0.003787395969641455,0.01590706307249411,1.188611943856139,32.38335556629592,False
2022,0.2,3.0,0.1,100000,"Washington, D.C.",0.003787395969641455,0.01590706307249411,0.37587209966655816,10.924288420841856,False
2022,0.2,3.0,0.13,1000,"Washington, D.C.",0.003787395969641455,0.020679181994242343,4.213569267300611,86.57877641190011,False
2022,0.2,3.0,0.13,10000,"Washington, D.C.",0.003787395969641455,0.020679181994242343,1.3324475963556766,28.062385283189638,False
2022,0.2,3.0,0.13,100000,"Washington, D.C.",0.003787395969641455,0.020679181994242343,0.4213569267300611,9.557877641190013,False
2022,0.2,5.0,0.05,1000,"Washington, D.C.",0.006312326616069092,0.01325588589374509,2.730647496904958,87.517940626001,False
2022,0.2,5.0,0.05,10000,"Washington, D.C.",0.006312326616069092,0.01325588589374509,0.8635065577257253,28.359375084537724,False
2022,0.2,5.0,0.05,100000,"Washington, D.C.",0.006312326616069092,0.01325588589374509,0.27306474969049577,9.6517940626001,False
2022,0.2,5.0,0.1,1000,"Washington, D.C.",0.006312326616069092,0.02651177178749018,3.7587209966655815,60.54573052505114,False
2022,0.2,5.0,0.1,10000,"Washington, D.C.",0.006312326616069092,0.02651177178749018,1.188611943856139,19.83001333977755,False
2022,0.2,5.0,0.1,100000,"Washington, D.C.",0.006312326616069092,0.02651177178749018,0.37587209966655816,6.954573052505114,False
2022,0.2,5.0,0.13,1000,"Washington, D.C.",0.006312326616069092,0.034465303323737234,4.213569267300611,52.34726584714007,False
2022,0.2,5.0,0.13,10000,"Washington, D.C.",0.006312326616069092,0.034465303323737234,1.3324475963556766,17.237431169913783,False
2022,0.2,5.0,0.13,100000,"Washington, D.C.",0.006312326616069092,0.034465303323737234,0.4213569267300611,6.134726584714008,False
2022,0.35,0.2,0.05,1000,"Washington, D.C.",0.0004418628631248364,0.0009279120125621563,2.730647496904958,1236.970580371443,False
2022,0.35,0.2,0.05,10000,"Washington, D.C.",0.0004418628631248364,0.0009279120125621563,0.8635065577257253,391.84821549339614,False
2022,0.35,0.2,0.05,100000,"Washington, D.C.",0.0004418628631248364,0.0009279120125621563,0.27306474969049577,124.5970580371443,False
2022,0.35,0.2,0.1,1000,"Washington, D.C.",0.0004418628631248364,0.0018558240251243126,3.7587209966655815,851.6532932150164,False
2022,0.35,0.2,0.1,10000,"Washington, D.C.",0.0004418628631248364,0.0018558240251243126,1.188611943856139,270.0001905682508,False
2022,0.35,0.2,0.1,100000,"Washington, D.C.",0.0004418628631248364,0.0018558240251243126,0.37587209966655816,86.06532932150164,False
2022,0.35,0.2,0.13,1000,"Washington, D.C.",0.0004418628631248364,0.0024125712326616066,4.213569267300611,734.5323692448582,False
2022,0.35,0.2,0.13,10000,"Washington, D.C.",0.0004418628631248364,0.0024125712326616066,1.3324475963556766,232.96330242733976,False
2022,0.35,0.2,0.13,100000,"Washington, D.C.",0.0004418628631248364,0.0024125712326616066,0.4213569267300611,74.35323692448581,False
2022,0.35,0.5,0.05,1000,"Washington, D.C.",0.001104657157812091,0.0023197800314053913,2.730647496904958,495.3882321485772,False
2022,0.35,0.5,0.05,10000,"Washington, D.C.",0.001104657157812091,0.0023197800314053913,0.8635065577257253,157.33928619735843,False
2022,0.35,0.5,0.05,100000,"Washington, D.C.",0.001104657157812091,0.0023197800314053913,0.27306474969049577,50.43882321485771,False
2022,0.35,0.5,0.1,1000,"Washington, D.C.",0.001104657157812091,0.004639560062810783,3.7587209966655815,341.26131728600654,False
2022,0.35,0.5,0.1,10000,"Washington, D.C.",0.001104657157812091,0.004639560062810783,1.188611943856139,108.6000762273003,False
2022,0.35,0.5,0.1,100000,"Washington, D.C.",0.001104657157812091,0.004639560062810783,0.37587209966655816,35.02613172860065,False
